Data,Hora,Equipamento,Usuário Reserva
2011-06-03,18:00 ~ 20:00,MEV XL30 TMP,xxxxx
2014-12-18,18:00 ~ 20:00,MEV INSPECT EBSD,xxxxx
2014-12-19,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2014-12-19,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2014-12-19,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2014-12-19,12:00 ~ 14:00,MET TECNAI G2F20,xxxxx
2014-12-22,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2014-12-22,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2014-12-22,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2014-12-22,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-01-05,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2015-01-05,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2015-01-05,14:00 ~ 16:00,FLUORESCÊNCIA RX,xxxxx
2015-01-06,10:00 ~ 12:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2015-01-06,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2015-01-06,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2015-01-08,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-01-08,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-01-09,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-01-09,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-01-09,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-01-09,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2015-01-12,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2015-01-12,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2015-01-12,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-01-13,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-01-13,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-01-13,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-01-13,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-01-13,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-01-13,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2015-01-13,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2015-01-13,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2015-01-13,14:00 ~ 16:00,FLUORESCÊNCIA RX,xxxxx
2015-01-14,08:00 ~ 10:00,MET CM120,xxxxx
2015-01-14,10:00 ~ 12:00,MET CM120,xxxxx
2015-01-14,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-01-14,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-01-14,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-01-14,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-01-14,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-01-14,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2015-01-14,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-01-15,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-01-15,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-01-15,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-01-15,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2015-01-15,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-01-15,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-01-16,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2015-01-16,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-01-16,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2015-01-16,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2015-01-16,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2015-01-16,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-01-16,10:00 ~ 12:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2015-01-16,08:00 ~ 10:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2015-01-16,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-01-16,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-01-16,14:00 ~ 16:00,FLUORESCÊNCIA RX,xxxxx
2015-01-16,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-01-19,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2015-01-19,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2015-01-19,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2015-01-19,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2015-01-19,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2015-01-19,14:00 ~ 16:00,MEV XL30 TMP,xxxxx
2015-01-19,16:00 ~ 18:00,MEV XL30 TMP,xxxxx
2015-01-19,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2015-01-19,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2015-01-20,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-01-20,08:00 ~ 10:00,MET CM120,xxxxx
2015-01-20,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2015-01-20,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2015-01-20,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2015-01-20,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-01-20,14:00 ~ 16:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2015-01-21,08:00 ~ 10:00,MET CM120,xxxxx
2015-01-21,10:00 ~ 12:00,MET CM120,xxxxx
2015-01-21,14:00 ~ 16:00,MET CM120,xxxxx
2015-01-21,16:00 ~ 18:00,MET CM120,xxxxx
2015-01-21,08:00 ~ 10:00,AFM BRUKER,xxxxx
2015-01-21,10:00 ~ 12:00,AFM BRUKER,xxxxx
2015-01-21,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-01-21,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-01-21,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2015-01-21,14:00 ~ 16:00,FLUORESCÊNCIA RX,xxxxx
2015-01-21,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-01-21,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-01-21,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-01-21,14:00 ~ 16:00,MEV XL30 TMP,xxxxx
2015-01-22,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-01-22,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2015-01-22,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-01-22,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-01-22,08:00 ~ 10:00,AFM BRUKER,xxxxx
2015-01-22,10:00 ~ 12:00,AFM BRUKER,xxxxx
2015-01-22,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-01-22,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-01-22,08:00 ~ 10:00,FLUORESCÊNCIA RX,xxxxx
2015-01-22,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2015-01-23,14:00 ~ 16:00,FLUORESCÊNCIA RX,xxxxx
2015-01-23,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-01-23,08:00 ~ 10:00,AFM NANOSCOPE 3,xxxxx
2015-01-23,10:00 ~ 12:00,AFM NANOSCOPE 3,xxxxx
2015-01-23,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-01-23,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-01-26,08:00 ~ 10:00,MET CM120,xxxxx
2015-01-26,10:00 ~ 12:00,MET CM120,xxxxx
2015-01-26,14:00 ~ 16:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
